Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Leonia ,Bergen,NJTPA,2017,3060477,760343,69677,1733050,6307,303587,28853146,5243805,58123,51469,229852,557967,54098,40981901
Eastampton,Burlington,DVRPC,2015,212484,658351,69667,2448789,38317,195067,16727003,13180962,97534,80117,362267,717568,45283,34833410
Moonachie ,Bergen,NJTPA,2017,735112,182630,68860,3431400,9754,399492,41663697,10382608,89889,50866,355470,862909,53463,58286150
Cape May ,Cape May,SJTPO,2020,175670,106417,68729,686018,6319,116859,3818410,5284353,11140,27856,246595,337628,29164,10915157
South Toms River ,Ocean,NJTPA,2019,1159680,289377,68532,673451,24717,131540,12746642,2199424,39036,86750,153135,374913,53077,18000274
Beverly ,Burlington,DVRPC,2019,240809,100936,68042,514490,23591,100123,4217683,5192152,38786,74732,164853,255340,30732,11022270
East Newark ,Hudson,NJTPA,2017,166121,41271,67815,331299,421,68204,9515055,1002432,15546,41141,46531,112959,52524,11461319
Englishtown ,Monmouth,NJTPA,2019,1146228,286021,67737,665639,24431,130014,12598792,2173913,38583,85744,151359,370564,52461,17791486
Avalon ,Cape May,SJTPO,2015,126197,146059,67523,572029,35164,78209,3959645,4548680,55158,42921,67078,325474,30981,9621228
Bordentown ,Burlington,DVRPC,2015,204831,634641,67158,2360597,36937,188042,16124590,12706258,94021,77231,349221,691725,43653,33578905
Mount Arlington ,Morris,NJTPA,2017,2262012,561973,66293,1691934,41515,142888,44139628,5119394,162819,108933,571271,1386661,51362,56306683
Netcong ,Morris,NJTPA,2017,1071041,266089,66185,1309311,23095,131574,30420995,3961664,90575,108755,317796,771393,51278,38589751
Park Ridge ,Bergen,NJTPA,2017,407965,101354,66181,3082703,4386,416720,40094336,9327537,40422,48887,159852,388043,51383,54189769
Somerdale ,Camden,DVRPC,2015,200227,620375,65648,2307533,36106,183815,15762126,12420634,91907,75495,341370,676176,42671,32824085
Saddle River ,Bergen,NJTPA,2017,1444440,358856,65598,2593627,8459,259192,43395468,7847704,77958,48456,308291,748379,50931,57207359
Pemberton ,Burlington,DVRPC,2019,231687,97113,65464,495000,22697,96330,4057904,4995456,37316,71901,158608,245667,29568,10604710
Harmony,Warren,NJTPA,2019,1104188,275531,65252,641226,23535,125246,12136706,2094180,37168,82599,145807,356973,50537,17138948
Dunellen ,Middlesex,NJTPA,2017,275687,68492,64942,983838,7209,129708,27187502,2976862,44685,76517,174326,423280,50506,32463554
Laurel Springs ,Camden,DVRPC,2019,226862,95090,64101,484692,22225,94324,3973405,4891434,36539,70404,155305,240551,28952,10383885
Westville ,Gloucester,DVRPC,2015,195030,604274,63944,2247644,35169,179044,15353038,12098271,89522,73536,332511,658627,41564,31972175
Stow Creek,Cumberland,SJTPO,2015,224757,36733,63758,340712,15186,74705,3153305,3802798,24028,96499,193348,161928,28725,8216481
Cresskill ,Bergen,NJTPA,2017,182863,45431,62779,2868810,3581,521789,44086656,8680344,33009,46373,130534,316873,48742,57027784
Wallington ,Bergen,NJTPA,2017,507381,126054,62013,2890338,5195,311044,34298553,8745485,47884,45809,189362,459677,48147,47736942
Maywood ,Bergen,NJTPA,2017,658269,163539,61680,2545606,3626,234441,36771846,7702405,33418,45562,132154,320804,47889,48721239
Sandyston,Sussex,NJTPA,2019,1041598,259912,61554,604878,22201,118146,11448742,1975472,35061,77917,137542,336738,47672,16167433
