zip,Zipcode name,City,State,County Name
8035,"HADDON HEIGHTS, NJ",HADDON HEIGHTS,NJ,CAMDEN
8034,"CHERRY HILL, NJ",CHERRY HILL,NJ,CAMDEN
8033,"HADDONFIELD, NJ",HADDONFIELD,NJ,CAMDEN
8032,"GRENLOCH, NJ",GRENLOCH,NJ,GLOUCESTER
8031,"BELLMAWR, NJ",BELLMAWR,NJ,CAMDEN
8030,"GLOUCESTER CITY, NJ",GLOUCESTER CITY,NJ,CAMDEN
8029,"GLENDORA, NJ",GLENDORA,NJ,CAMDEN
8028,"GLASSBORO, NJ",GLASSBORO,NJ,GLOUCESTER
8027,"GIBBSTOWN, NJ",GIBBSTOWN,NJ,GLOUCESTER
8026,"GIBBSBORO, NJ",GIBBSBORO,NJ,CAMDEN
8025,"EWAN, NJ",EWAN,NJ,GLOUCESTER
8023,"DEEPWATER, NJ",DEEPWATER,NJ,SALEM
8022,"COLUMBUS, NJ",COLUMBUS,NJ,BURLINGTON
8021,"CLEMENTON, NJ",CLEMENTON,NJ,CAMDEN
8020,"CLARKSBORO, NJ",CLARKSBORO,NJ,GLOUCESTER
8019,"CHATSWORTH, NJ",CHATSWORTH,NJ,BURLINGTON
8018,"CEDAR BROOK, NJ",CEDAR BROOK,NJ,CAMDEN
8016,"BURLINGTON, NJ",BURLINGTON,NJ,BURLINGTON
8015,"BROWNS MILLS, NJ",BROWNS MILLS,NJ,BURLINGTON
8014,"BRIDGEPORT, NJ",BRIDGEPORT,NJ,GLOUCESTER
8012,"BLACKWOOD, NJ",BLACKWOOD,NJ,CAMDEN
8011,"BIRMINGHAM, NJ",BIRMINGHAM,NJ,BURLINGTON
8010,"BEVERLY, NJ",BEVERLY,NJ,BURLINGTON
8009,"BERLIN, NJ",BERLIN,NJ,CAMDEN
8008,"BEACH HAVEN, NJ",BEACH HAVEN,NJ,OCEAN
8007,"BARRINGTON, NJ",BARRINGTON,NJ,CAMDEN
8006,"BARNEGAT LIGHT, NJ",BARNEGAT LIGHT,NJ,OCEAN
8005,"BARNEGAT, NJ",BARNEGAT,NJ,OCEAN
8004,"ATCO, NJ",ATCO,NJ,CAMDEN
8003,"CHERRY HILL, NJ",CHERRY HILL,NJ,CAMDEN
8002,"CHERRY HILL, NJ",CHERRY HILL,NJ,CAMDEN
8001,"ALLOWAY, NJ",ALLOWAY,NJ,SALEM
7981,"WHIPPANY, NJ",WHIPPANY,NJ,MORRIS
7980,"STIRLING, NJ",STIRLING,NJ,MORRIS
7979,"POTTERSVILLE, NJ",POTTERSVILLE,NJ,HUNTERDON
